ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
208128_x_at	0.897	0.6189222	0.5022009	-5.2092	0.23996666	KIF25	kinesin family member 25
205476_at	0.963	0.834491	0.2106353	-5.2093	0.10439463	CCL20	C-C motif chemokine ligand 20
221890_at	0.947	0.7744898	0.2889112	-5.2093	0.16107706	ZNF335	zinc finger protein 335
211644_x_at	0.997	0.9830515	0.0214079	-5.2093	0.01034001	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
206137_at	0.899	0.6243708	0.4943834	-5.2093	0.29993084	RIMS2	regulating synaptic membrane exocytosis 2
213884_s_at	0.993	0.951644	0.0611138	-5.2093	0.03953756	TRIM3	tripartite motif containing 3
212829_at	0.692	0.2301101	-1.2231086	-5.2094	-0.29341145	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha
219636_s_at	0.96	0.8281075	0.2188916	-5.2094	0.12356956	ARMC9	armadillo repeat containing 9
218182_s_at	0.983	0.9085534	-0.1157648	-5.2094	-0.08710233	CLDN1	claudin 1
216055_at	0.955	0.8064091	0.2470749	-5.2094	0.14369456	PDGFB	platelet derived growth factor subunit B
207516_at	0.975	0.8855406	0.1450874	-5.2094	0.10630688	CHRNB4	cholinergic receptor nicotinic beta 4 subunit
204891_s_at	0.927	0.7064729	-0.3799348	-5.2094	-0.22774537	LCK	LCK proto-oncogene, Src family tyrosine kinase
210017_at	0.896	0.6130241	0.5106988	-5.2095	0.22996088	MALT1	MALT1 paracaspase
205742_at	0.99	0.939651	0.0762982	-5.2095	0.05018339	TNNI3	troponin I3, cardiac type
213312_at	0.883	0.5832684	-0.5541685	-5.2095	-0.28748567	SMIM8	small integral membrane protein 8
205605_at	0.965	0.844405	-0.1978415	-5.2096	-0.10869683	HOXD9	homeobox D9
202389_s_at	0.881	0.5729681	-0.5694644	-5.2096	-0.2772812	HTT	huntingtin
213959_s_at	0.965	0.8438813	-0.1985165	-5.2096	-0.12081581	RPGRIP1L	RPGRIP1 like
209778_at	0.935	0.7289219	0.349572	-5.2096	0.22129793	TRIP11	thyroid hormone receptor interactor 11
219162_s_at	0.941	0.7524985	-0.3180358	-5.2096	-0.2012944	MRPL11	mitochondrial ribosomal protein L11
200635_s_at	0.782	0.3635414	-0.9216144	-5.2096	-0.30393919	PTPRF	protein tyrosine phosphatase, receptor type F
222087_at	0.952	0.7942575	0.2629454	-5.2096	0.17194597	MIR1204///PVT1	microRNA 1204///Pvt1 oncogene (non-protein coding)
210009_s_at	0.97	0.8612382	-0.1761939	-5.2096	-0.10870523	GOSR2	golgi SNAP receptor complex member 2
210828_s_at	0.941	0.7520789	0.3185942	-5.2098	0.19618885	ARNT	aryl hydrocarbon receptor nuclear translocator
220398_at	0.937	0.7361078	0.3399236	-5.2098	0.2025987	GNPTAB	N-acetylglucosamine-1-phosphate transferase alpha and beta subunits
204293_at	0.948	0.7787351	-0.2833185	-5.2098	-0.17009751	SGSH	N-sulfoglucosamine sulfohydrolase
220870_at	0.997	0.9856975	-0.0180654	-5.2098	-0.01004291		
202525_at	0.99	0.9405476	0.0751624	-5.2098	0.05042992	PRSS8	protease, serine 8
209999_x_at	0.937	0.7358704	-0.3402419	-5.2098	-0.18388945	SOCS1	suppressor of cytokine signaling 1
220432_s_at	0.982	0.9054467	0.1197168	-5.2099	0.08128005	CYP39A1	cytochrome P450 family 39 subfamily A member 1
208211_s_at	0.996	0.9767589	0.0293584	-5.2099	0.0168949	ALK	anaplastic lymphoma receptor tyrosine kinase
213842_x_at	0.762	0.3273836	-0.9944272	-5.2099	-0.47552349	NSUN5P2///NSUN5P1	NOP2/Sun RNA methyltransferase family member 5 pseudogene 2///NOP2/Sun RNA methyltransferase family member 5 pseudogene 1
206550_s_at	0.955	0.8087053	0.2440833	-5.21	0.14549142	NUP155	nucleoporin 155
202975_s_at	0.761	0.3248894	-0.9996453	-5.2101	-0.34818157	RHOBTB3	Rho related BTB domain containing 3
208340_at	0.903	0.6353329	-0.478748	-5.2101	-0.1989457	LOC643733	caspase 4, apoptosis-related cysteine peptidase pseudogene
210606_x_at	0.958	0.82013	0.2292313	-5.2101	0.13834569	KLRD1	killer cell lectin like receptor D1
221607_x_at	0.686	0.2210272	-1.2478549	-5.2101	-0.25880735	ACTG1///ACTB	actin gamma 1///actin beta
210534_s_at	0.936	0.7340448	-0.3426901	-5.2101	-0.19955009	B9D1	B9 domain containing 1
216695_s_at	0.953	0.7994275	0.2561851	-5.2101	0.14785302	TNKS	tankyrase
206856_at	0.995	0.9639258	-0.0455787	-5.2101	-0.0295665	LILRB5	leukocyte immunoglobulin like receptor B5
218790_s_at	0.993	0.956673	0.0547511	-5.2101	0.0332693	TMLHE	trimethyllysine hydroxylase, epsilon
221130_s_at	0.993	0.9594872	-0.0511915	-5.2101	-0.02927363		
215603_x_at	0.921	0.6880433	-0.4051315	-5.2102	-0.20334727	LOC102724197///LOC100132705///GGT2///GGTLC1///GGTLC2///GGT3P///GGT1	inactive gamma-glutamyltranspeptidase 2-like///immunoglobulin superfamily member 3-like///gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 3 pseudogene///gamma-glutamyltransferase 1
214117_s_at	0.967	0.8543971	-0.1849808	-5.2102	-0.10480809	BTD	biotinidase
207330_at	0.935	0.7300191	0.3480965	-5.2102	0.17865181	PZP	PZP, alpha-2-macroglobulin like
216950_s_at	0.973	0.8762642	-0.1569422	-5.2102	-0.10855376	FCGR1CP///FCGR1B///FCGR1A	Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia
216371_at	0.966	0.8464579	0.1951967	-5.2103	0.10460515		
207562_at	0.996	0.973867	0.0330126	-5.2103	0.01967808	DGKQ	diacylglycerol kinase theta
218938_at	1	0.9988375	0.0014683	-5.2103	0.00109033	FBXL15	F-box and leucine rich repeat protein 15
219391_at	0.989	0.9352797	0.0818371	-5.2103	0.05151728	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1
210456_at	0.949	0.7817291	-0.2793796	-5.2104	-0.14828414	PCYT1B	phosphate cytidylyltransferase 1, choline, beta
207017_at	0.956	0.8114852	-0.2404644	-5.2104	-0.13703333	RAB27B	RAB27B, member RAS oncogene family
219264_s_at	0.971	0.8658332	0.1702999	-5.2104	0.10800035	PPP2R3B	protein phosphatase 2 regulatory subunit B''beta
212602_at	0.855	0.5089995	-0.6677853	-5.2104	-0.32134551	WDFY3	WD repeat and FYVE domain containing 3
220793_at	0.942	0.7581081	-0.3105813	-5.2105	-0.15221913	SAGE1	sarcoma antigen 1
220122_at	0.912	0.658412	-0.4462118	-5.2105	-0.31715621	MCTP1	multiple C2 and transmembrane domain containing 1
204149_s_at	0.996	0.9693672	0.0386997	-5.2105	0.0258447	GSTM4	glutathione S-transferase mu 4
